"","A","B","C","D","E","F","G","H","I","J","K","L","M","N","O","P","Q","R","S","T","U","V","W","X","Y","Z"
"AFFX-BioB-5_st",5.3392300451629,2.89879073153643,4.27849777956398,4.36629423443431,4.64671566107736,3.64159226857218,4.4535307484392,4.57119138094856,4.59598097896562,4.89254645942996,4.29600213405445,4.36941762522648,5.69246346588015,4.04041028309499,4.16050073911843,4.042898187381,2.70833072571362,5.40835861561096,5.37388829255816,4.43661494287166,5.11315038347809,5.20838069361024,4.08711485518753,3.07021069744708,5.35850527584261,4.39835037034596
"AFFX-BioB-3_st",8.00909518926348,6.82896155231732,7.55302252411028,7.71822461155628,7.10213319047053,6.70264369256558,8.21085151723161,6.78837250113786,6.95148288976494,7.36815720409731,7.43421120348557,6.96390178267054,7.06421462284721,6.96942681550391,7.04896633034243,6.67229803973388,7.67771964164101,8.05403988115059,8.30976736462309,6.46069833880878,7.28705666993436,7.96504543563966,7.14774424449136,6.87618539556743,6.9785846288782,7.71809443564942
"AFFX-BioC-5_st",7.01185340574379,6.22128743488915,6.37203097177715,6.66581910356626,6.38368010337238,6.19374415060471,6.78961189071508,6.86717987927477,7.22235055681044,6.82955784623041,6.22845123736778,6.76113897496464,7.14394436551295,6.37717755412503,5.77429158335438,6.39098746952562,6.69054280902652,7.13709360897494,7.47119559097183,6.24581507701365,6.44906443410849,7.02800548934886,6.51900085539774,6.28406433138066,7.01822243815998,6.52011261734691
"AFFX-BioC-3_st",5.94778536354804,5.65068415189784,5.94652033480381,6.54262177358543,5.25221126679444,5.67488148922123,6.10903035676306,5.69307430164611,5.59974327837271,6.05164182045298,6.04062069456969,5.51416961262251,6.22792009259123,5.95871278045321,6.3974419007297,5.60140533365055,6.21317228115546,6.22324104315651,6.81971926952684,5.98264911151774,5.22840313448117,6.12917171903455,5.41995343823488,5.99561792808111,5.6474469136306,7.07240597333172
"AFFX-BioDn-3_st",8.15181316366667,7.70112622213049,7.90110220763107,7.88525709275653,7.25102787233339,7.31745783860589,8.30802497085468,7.24971079682242,7.51414593659088,8.10339272787252,7.76410858472959,7.34212801783086,7.64198668893354,7.49022513876262,7.60972541782011,7.50892774121369,7.17413672696563,8.30394966144191,8.07406116209249,7.21056420296043,7.59398862029346,8.20083976835701,7.62749740626091,7.66910473925471,7.50480310102049,7.87622837869907
"AFFX-CreX-5_st",7.4817590759953,6.66249036391378,6.89116397057495,7.04257867928333,6.77287537550405,6.61735579215175,7.47194340882178,6.96341632253491,6.42755253999909,7.16587175188459,6.70422183076951,6.91572404926897,6.66100845516057,6.7619101994514,6.77407541806593,6.77139702841288,6.74265301430321,7.56065382203349,7.90899299325053,6.56948197786928,6.70247747228859,7.40081114140935,6.77591969043919,6.73818685947239,6.4949883503165,6.85883889481047
"AFFX-hum_alu_at",13.273677603377,13.0535220604155,13.2065565397387,13.0693910245771,13.1671876098362,13.0917378445254,13.2999663789267,12.3982493506201,12.9387066488875,13.2741961303792,13.1782213314946,12.9602897905363,13.0650693884158,13.0238877375248,13.0807359324374,13.2442434072807,12.7618545321793,13.1652571901135,13.2716162185768,13.1150745461404,13.2411951706315,13.3437547958106,13.0302877927496,13.1901240599367,13.0106417407442,12.1838989624634
"AFFX-DapX-5_at",5.93704065968988,5.22781807501407,5.48389637250133,5.45621475957641,5.34211734802234,4.83702991858025,5.62320258708134,2.92502717015559,4.56248666937185,5.83397542360581,5.54659817551103,4.94158525127705,4.42662035197757,4.77045379083088,5.40031249087073,5.08373672903154,4.72001026102919,6.13702391187882,6.18541067678517,4.06129233847829,5.18526001029915,5.86050102183426,5.33554042290529,5.08414507386306,4.56709514359878,5.49660615172949
"AFFX-DapX-M_at",6.91341603328531,6.24765033750877,6.98155586587335,6.49828438107204,6.63838378053012,5.90413241317689,7.01590562467515,5.72615002572616,6.0041889992088,6.65908255040134,5.90447446384561,6.27382170266867,6.16259877993419,5.93650602942573,6.46059841811967,5.89740985967343,6.17457220387594,7.04003760413782,7.08966763043294,4.69835184910483,6.26486291452416,6.70636477950913,6.09691540510728,6.39788850813076,5.54274093123414,6.21977839011341
"AFFX-DapX-3_at",5.64662926818658,4.80494154288864,4.87090716957184,5.27215759538143,5.10791379574231,3.9940275206977,5.8033432947821,4.32843438331255,4.62867445753643,5.28067798933113,4.09134440506916,5.19371261533909,5.49935161959314,4.64222213393824,4.60981995761796,3.48644408369988,5.12840476669682,5.8284437185403,5.5423385412362,3.83077250822055,4.61213424955305,5.897542972507,4.50329784555601,4.73015082384196,4.93795166530266,4.88008305226487
"AFFX-LysX-5_at",5.41035806622244,5.07547273155326,5.16357923757242,5.45342868381111,4.39943089228206,4.70058398043219,5.57596272817342,4.57310181385746,3.50762975134305,5.34277517198434,5.36258560831025,4.86578522549328,4.0190257706782,4.54654261541574,5.15411329428441,4.8167839993109,4.99670961097655,5.32502296056377,5.61807416958571,4.74348265407669,5.67148020864178,4.79188177728257,4.9529811426213,4.35365498819,3.8772632714345,5.08127144554588
"AFFX-LysX-M_at",5.2052986659408,5.1362611236135,5.19260055658816,5.21052134440236,4.58837284500046,4.31214962579803,5.84337338257333,4.1948907775751,3.80383664263332,5.22456899052183,4.26374806277637,4.93779163361894,4.87583411398188,4.62670195193487,5.31081270034831,4.87325215055397,5.29888555145986,5.59491574513905,5.81831118738162,4.22503579785013,5.69288745240744,5.9236864058786,5.45841809733045,3.69572662262096,4.08102425912113,5.14130198762526
"AFFX-LysX-3_at",7.87466173763335,6.67901554729206,6.6132516910562,7.19218429999359,6.98945694667993,6.02413791228607,8.03660772974,6.08705331233225,6.08654176839472,6.41767701849964,6.82076613469691,6.7644337409776,7.28493974248679,6.32887594827683,6.65067840835356,6.44966866487727,6.46517455888753,7.55329137766222,7.95399850799128,6.06829676197506,6.19032842599797,7.56366152116936,6.71174267650573,7.01813339871226,6.51413330921514,6.6811821789629
"AFFX-ThrX-5_at",6.96651121979043,6.61525296071864,6.27009719053581,6.75302950430002,6.17704274355559,6.70818723602071,6.69902407291143,5.94175894524337,6.57736839975281,6.21567859660793,6.32303674061892,6.56896541870322,6.40087089959988,6.58262825638207,6.87024140704511,5.91987634493112,6.54567498304965,7.05817576967347,6.62332990571873,5.98043894150878,6.37393004173641,7.01384186645022,6.59507095419545,6.56311541037401,5.88436591853696,6.15412950079018
"AFFX-ThrX-M_at",5.64369171316472,4.31267969336295,5.00924862415027,5.20998745383926,5.27682789659863,4.27886942810769,5.39732380899655,4.74389191093657,4.36748988738169,4.98078393273496,4.51782998480927,4.8062157738559,5.10632737916738,4.13357996474317,4.56627328070494,4.81118842369511,5.2638945065958,5.3279603583236,5.72305336594622,3.96612587440514,4.50774390717338,5.62881733024126,4.64016972609943,4.7594062059692,4.62705813616982,4.97060060846608
"AFFX-ThrX-3_at",5.04983112812224,2.29714445116122,4.62362108657226,4.92246428461769,4.54462757148993,4.36336033956393,5.41390205734433,4.3738569798816,4.70005679825978,5.19331442331278,4.30902335151875,4.0801118598616,4.75818589742087,3.55092528380676,4.77151588015205,3.03198796285549,4.61160323525085,4.73942149431575,4.90183230578549,4.04329200410237,4.91529142802348,5.29650512931868,4.18675408458318,3.93053865768062,4.01283680751384,4.55251233278531
"AFFX-TrpnX-5_at",7.21426082891442,6.1481592814886,6.89034940719884,6.89106673345181,6.37294165365317,6.11013143463058,7.20747317557105,5.75350559361434,5.79513573451745,6.99258717628777,6.01263124256313,6.35812720856781,6.44756431991928,5.55038664375349,6.39867358594251,5.82760057185813,6.60082576437017,7.2985666780607,6.70827002027755,5.59592430566059,6.4361518427787,7.17810708368443,6.31132145931007,6.00919262790739,6.17013738257899,6.10458827072853
"AFFX-TrpnX-M_at",6.05947642014633,2.48762526122737,5.91415308627193,5.98931161168856,5.06709657191942,5.24951360579761,5.93033048750095,5.33864190802161,5.30389762000339,4.90138342967703,0.674605275392858,5.72098431552408,5.72886742271376,4.27575204882853,5.6431029063393,5.45137598184461,5.59347926923277,6.54724621857262,5.68039187609276,4.87535741338068,5.20257052474462,6.48457319479685,6.20440485794984,5.72109098378315,4.91224267238402,5.27921126023156
"AFFX-HUMISGF3A/M97935_5_at",7.37286506011259,8.22893410148277,7.25194627078781,6.89109104334701,6.5748160163275,6.34900250572773,7.25075318603836,6.93345461191491,6.5228514106165,7.01552656073741,6.73058561609717,6.70643385391944,6.383445102419,6.60920533816383,7.76418158536877,8.57274190584702,7.22380865860602,7.61037525385132,6.71508341142049,6.33395856242717,7.34583100625192,7.58731998102966,6.96727237822001,6.27917410848905,7.6278767345879,7.55547875069841
"AFFX-HUMISGF3A/M97935_MA_at",7.4917649289387,9.6274299191373,7.23121157871557,6.36871946701689,7.34996674697119,7.20708266959253,7.40154514191926,7.99800364265149,7.08312825098645,7.06820860994546,7.62959704921789,7.14132038255651,7.18638170155351,6.98010529536948,8.52064225060267,9.89074762810064,6.52352118366451,8.06282867860672,6.9225308859854,7.02730889576497,7.9839968397145,7.86606723233341,7.87068528286456,6.4166742547604,8.96508007764164,8.288418550185
"AFFX-HUMISGF3A/M97935_MB_at",7.24526746651951,9.09366316478834,7.43982257469877,7.07855646697158,7.5936450894666,7.3527761773289,7.18276180895616,7.1705960992736,7.11659348690781,7.33827286322705,7.92055532472155,7.28143861580491,6.29959818028358,7.239894436345,8.37669410500807,9.77083069746818,6.6295008823707,7.71152932167474,6.62068317333761,6.53416901593556,7.87402845483733,7.86056558005801,7.49623862885905,6.35289091193819,8.46233048861639,8.27599874571768
"AFFX-HUMISGF3A/M97935_3_at",9.11340358777525,10.7800639851478,9.22847480719675,8.73663531445152,9.74658989689679,9.10854013816078,8.96561980805208,9.45396814528056,9.37108616316365,9.23635628299843,9.60867250536458,8.93553635947833,9.10858456781924,9.2134712276339,9.86252578069546,11.0587832284859,8.93550689393169,9.18608451847929,8.81083187473872,9.95340348290445,9.01162422153276,9.43282164335976,9.60787399634666,9.93905904514978,10.6989303414838,9.93151760089346
"AFFX-HUMRGE/M10098_3_at",6.0245945027367,4.30131693298822,5.29266397339686,4.6087323757281,5.28198008586669,4.48669506832919,6.08386860301901,5.54142191124622,5.72923461377732,5.63300101151932,5.05114584712241,5.1948829000867,5.71113143387221,4.46652924053124,4.56339611883744,3.79606817033863,5.35753089185325,5.37235317161294,5.70536974112437,5.12424954568918,6.04055056082114,5.22103410301575,4.78055682709642,4.79632260246182,5.7474652794497,5.69722058403656
"AFFX-HUMGAPDH/M33197_5_at",10.7992411412952,11.2112616931062,10.7253662578956,9.86415673318949,11.4581040974869,11.4376480530697,10.3783598895343,11.7353698577017,11.2880528154092,10.448787410409,11.6554054993047,11.9039044347301,9.89437670402822,12.1232904888083,10.4124639958905,11.8278110872328,11.0060525226615,10.0654969179514,9.62178632449457,10.7853216796771,10.6599602258571,10.2273752736262,11.3297234729948,10.6003403817423,11.1818541728199,12.3979366256776
"AFFX-HUMGAPDH/M33197_M_at",11.6931297242852,11.6751366858234,11.3831318522956,10.9038818457362,11.9560421277839,11.7869597668042,11.5514775657552,11.8415840028425,11.7360255637693,11.3344688348982,11.940317268121,12.0270489691464,11.0043609361144,12.5025086280458,10.7839395018333,12.0207855299392,11.6872444438382,11.0645878452005,11.3832668822408,11.7117616016204,11.3665735710293,11.2158848336801,11.7636978872932,11.824437717432,11.6779530258066,12.613920654451
"AFFX-HUMGAPDH/M33197_3_at",12.1289577298317,11.9429689413441,11.9004668423074,11.548624463384,12.2214934759596,12.0621406048361,11.9376680676011,12.0062699687302,11.9117814479505,12.0349605518758,12.2156058000135,12.1789604549499,11.8111619264659,12.5653187044205,11.1666150311824,12.2961562408813,12.3921456631451,11.5086762379428,12.2531413250616,12.3323107350942,11.8367013150733,11.4822382267075,12.1264108713046,12.5267339636407,11.9345865293323,12.9671019453411
"AFFX-HSAC07/X00351_5_at",11.9051274770937,12.4328080749897,11.5320587832881,10.7417281984199,11.5935872039377,12.2465387258046,12.1850271649388,12.1837625265511,12.1763134216243,10.8700178762013,12.3023790325086,12.0537697960139,11.2064588611093,11.9965546954197,11.7541693154846,12.3156109470499,10.5333199974886,12.0123626512824,10.0955157039745,11.5141074622108,11.8990434237109,11.9217516954459,12.0807409281927,9.91519221757444,11.9654740718792,11.3406345888895
"AFFX-HSAC07/X00351_M_at",12.0542583552456,12.4913821398366,11.8687531185834,11.1463077324405,12.0490827651521,12.3824700228174,12.5042256032057,12.433003760283,12.4160242596089,11.3974767701719,12.4017301833924,12.3769203350966,11.7291873601672,12.4708012048165,11.9025447003304,12.5229811347992,11.3634448862901,12.1506643869688,10.9606608440686,12.0430580516441,11.998114388775,12.1381501836631,12.3652397870042,11.1897195644102,12.2202604161154,11.4473415653707
"AFFX-HSAC07/X00351_3_at",12.4119902178845,12.5191497034747,12.2253972527507,11.7697138954322,12.2256503016514,12.5617270839617,12.3954939707874,12.2686092504269,12.3999561148403,11.9501949958995,12.3831156478529,12.1936085194326,12.3665489837112,12.358816008125,11.8638532957096,12.3327275110227,12.2893013541202,11.9612868936461,12.1574195736085,12.5375799998372,12.1211546630229,12.0009330824359,12.4676997908547,12.3496571984624,12.119177826538,11.8353793616341
"AFFX-HUMTFRR/M11507_5_at",6.3176586197807,5.17061412446223,6.36235942051082,5.68642488876141,6.25663706877992,5.94967732792724,6.3979586522858,6.17992301941705,5.95738764949101,5.72111286347689,5.61299230948353,6.22585909382183,6.20254505867358,6.82162093658909,5.95906764390605,6.25469040591801,5.87082581507488,5.92013368013982,5.43059974086829,5.77791937748962,6.22609616220159,5.76798048006802,6.08647595496911,5.81740837203475,6.34892994040668,5.88154961021303
"AFFX-HUMTFRR/M11507_3_at",5.47126226003927,5.77616190532465,5.48643764762238,4.96753292504636,4.78661204327342,6.00614539718571,5.7677633670168,5.63373052980526,5.63884422759853,5.07304470480587,6.28537817374452,5.85373621810487,3.54005207466738,8.72512081695277,5.82130203988953,7.01297085583365,5.63227112415594,6.1381058871033,5.16220197834363,4.14528616280352,6.85433233650017,6.62311038381206,6.26245195043101,3.04230113126341,5.79608894198993,5.85187644262541
"AFFX-M27830_5_at",7.62776732319031,5.48237720107646,7.68745967051605,6.86224060061176,5.36108052955364,6.0625470127833,6.2070982918613,6.95009509417369,5.53376578474004,6.72141367562161,5.93470755874872,5.63982544510353,5.3145080205222,5.60107545352939,5.74217332953631,5.48089196353903,6.70799405427937,6.51225533552217,7.60569433213848,6.72836952557322,6.47843150191645,6.39872146357669,6.10149250381296,5.49534979534793,5.28992297136084,7.16231075715051
"AFFX-M27830_M_at",9.69943017207623,8.9689288158041,9.27781973891411,9.38388137890064,9.158511233225,9.06317933505798,9.28200882260504,9.33320455767437,9.07649763477432,9.07366226924135,9.17885902294893,8.9078821076559,8.89020346667564,9.47473616788339,8.91260196586033,9.05752337987752,9.20239813025475,9.28059216177898,10.1662509726172,9.55528700851353,8.9835921974365,9.22029851167959,9.15459535999103,9.20528497940277,8.93607252730682,9.49449561566805
"AFFX-M27830_3_at",9.08052709438839,8.55931590136785,8.76883934490539,9.13146087230845,8.6100282187533,9.12213429932138,8.99662318794068,8.66369685243194,8.71517266649792,8.6603025885636,8.6396301231402,8.73896031838195,8.8022481572391,9.08138223950696,8.65362614661359,8.67018176340613,8.76758528344804,9.12466415943342,8.88461318300143,8.30164708704808,8.59816046555697,8.76346137208629,8.81016029556032,8.65896834198101,8.4346449060957,9.09707084366203
"AFFX-HSAC07/X00351_3_st",6.87222545886168,7.00263501903273,6.40060965269635,6.66925358652116,6.59973584090707,6.61064986926816,6.40621351059668,7.44857888505586,6.92396920082332,6.37107265518907,6.45373321012249,6.42994898413089,6.39076053336829,6.78191045558711,6.63818681489871,7.2290495032379,7.62519741747553,6.43379906520676,7.26176585459501,7.65198447590948,7.08970999722072,6.19272087379621,6.39903091995658,7.31199347287477,6.88719624026706,6.59790952665268
"AFFX-HUMGAPDH/M33197_5_st",7.17711053394087,7.50206003919893,7.58257105609747,7.66202030771735,7.57203319292019,7.52192231128049,7.19480609232061,7.11346089122292,6.67017468034774,7.85503040470656,7.14564688929894,7.03118564089545,6.35860021670954,7.37404832451428,7.34259030041776,7.38139586233318,7.3435943656303,7.30197168011847,7.28365327866372,7.0448640116662,6.97925940806987,7.34904675108347,7.24495363765902,7.4300594159784,6.74382460692961,7.53318175599503
"AFFX-HUMGAPDH/M33197_M_st",6.13873256972024,6.54904994796911,6.00781891958281,5.97771495640741,5.79419749598034,6.21061874837479,5.68758424234476,6.25370379911253,6.0802227429072,6.03434118842354,5.76751179274282,6.07487573879164,2.21859210191054,6.25400060812835,6.10923308506252,6.31148131793695,6.47471183577963,6.18212019046686,6.29585891354864,5.73678885319809,5.97481149145428,5.74093295557795,6.14137352215155,6.14580582489054,6.2536187152041,6.586281362548
"AFFX-HUMGAPDH/M33197_3_st",5.79269140042858,6.01669019352948,6.31701819305925,6.67494079204286,5.89189546978889,6.18716003102798,6.33500439331371,5.39192234504612,5.62482323135552,6.69817679729563,5.45960210888609,5.0236456966706,4.64937403172543,5.30267730376269,5.9314608686965,5.72543851866093,5.89919013471431,5.53697605401915,6.07400655509056,5.25504368143887,5.32494018098812,5.86910396858393,5.52509792198127,6.2294168040392,4.92569566130889,5.84418476251406
"AFFX-HSAC07/X00351_5_st",7.80843010199267,7.49967052122706,7.89344109082282,7.75688985507462,7.39211130876442,7.30399987508549,7.60659768258366,7.45701143617262,7.27673858337914,7.9937536036522,7.2108271707835,7.35296151331656,7.054327554426,7.51818890098404,7.27806840631334,7.19551493179239,7.78156298805005,7.46586838008615,7.61759235264833,7.25949847900332,7.66411301703097,7.67863534782274,7.35206991727446,7.04760382156111,7.16473600494357,7.74615150237839
"AFFX-HSAC07/X00351_M_st",7.89688939162862,7.57221514175349,7.69570852980947,7.76660178687497,7.54487172651489,7.71007629348441,7.82134031121554,7.54022105017338,7.91081659284981,7.38585377463636,7.65386256532618,7.56430956879716,7.32531445082183,7.48449263736221,7.69006084779923,7.72852598717793,7.21815149778258,7.6210628316654,7.81211953236495,7.36560506031188,7.469495301982,7.6191928918373,7.68099237702915,7.83144659729507,7.4361368478452,7.67409337745871
"AFFX-YEL002c/WBP1_at",7.03115255042121,6.06865576460141,6.60221633969009,6.77486610921851,7.09460556531222,6.06017927871604,5.82010746425213,5.94360959950502,4.94870829810953,5.98928208872936,6.45976110567256,5.8866208659362,5.55360318502735,6.147508189801,5.90098994489646,5.87316600547372,7.1853710292354,6.53628607563725,6.6993434083531,6.39996230786558,6.301256564242,6.48305151067593,6.41582456773775,5.33773249694043,5.71863013697859,6.90362882483718
"AFFX-YEL018w/_at",5.75683115893673,4.91931624392648,5.25160927699301,5.16683191620076,4.90923067170993,5.39578259606281,5.33995686522613,5.01499347294101,4.69166257246284,5.07157820256342,3.97085365434048,5.06509834323425,4.39904801505935,4.9061209529971,5.05116760391423,4.65196439151515,5.26159098896412,5.6522455475951,5.24513433534033,4.44373924602935,5.51802834425935,5.57813867083139,4.37086174008529,5.0305523781194,4.75959795101396,4.91859613512127
"AFFX-YEL024w/RIP1_at",6.74500869902826,6.19314486265316,6.21324811734556,6.69124101791836,5.44034430480077,5.52338944959773,6.57761462914937,4.83560074501929,5.15796127640553,6.37022880970212,5.04212336741624,4.9932622336858,5.3059559334987,5.17386298842029,5.71053646263873,5.84209887138234,7.02558254840032,6.42250549896308,6.92063868617773,5.7661472313215,6.31867656629988,6.49247973106608,5.71173166541568,5.79618500698718,5.58533214396687,6.42035607486259
"AFFX-YEL021w/URA3_at",8.57839156233014,7.8937141038825,8.60342235054602,8.39645493860405,7.77445763956529,7.87229318885518,8.52065010719922,7.571054824602,7.70517618171697,8.80734848144037,7.67234754749442,7.82549945100136,7.43316811541982,7.72802252843145,8.12051265022935,7.76945439605627,8.78509931204381,8.37138897004081,8.36837986546577,7.64195779732918,8.65816505864959,8.4459997647428,7.76181049535286,7.54274557354075,7.70997294190433,8.38477943387137
"31307_at",5.20879815533517,5.40119013713979,4.54188649247228,4.95840191329423,4.6358820577564,3.68117936726462,6.09630613528902,4.29738219780167,3.83777172249495,4.52154704920505,3.37402397297041,4.34538927829077,5.83294569605668,3.41372946410504,4.00649551685946,4.51816371679703,4.50598617493806,5.60928809065111,5.47632983775714,3.07571060391927,4.27302346920832,5.67421487077955,4.82369841678734,3.99486932025042,4.92447524164308,4.82282700407757
"31311_at",7.76109907282692,7.34485512129116,7.37922239160856,7.95846571612201,7.51756703778829,7.01990202780381,8.08125439956588,6.98550043030489,7.31776532993358,7.4349033975569,7.40978974375755,7.47701345742327,7.85770735460136,7.08592385318121,7.2326799414372,7.59749392944769,7.16722744657984,7.86809407991528,7.96386133389791,7.45438155471246,7.61414295970384,7.92081134815858,7.04685116515398,7.67803668263578,7.56052390699477,7.65329652860107
"31312_at",7.57120655307811,6.90882491413966,7.40320806334772,7.44047055506926,6.67786055735131,6.54594675322143,7.52143555086808,6.83062294953541,6.27961800922987,7.4353952372578,6.49205826503495,6.97845878767432,6.4045795963782,6.81492207207155,7.12429711341637,7.04033356294389,7.24394511924916,7.67430527777403,7.25276949194618,6.95046841415012,7.2099017011742,7.22432974145201,6.82558213003292,7.08966763043294,6.44955642256226,7.27159375162942
"31313_at",6.82624339176442,6.40800698259704,7.47437114323017,6.87643099621508,6.45987091796438,6.49536418730191,6.877204365085,6.9598860482943,6.15762584628601,7.88501299018059,6.76983784362944,6.73447931249473,7.34434917567239,6.65410610772749,6.56510664926805,6.50020292984787,6.93536545093014,7.43456985151185,6.7287912528639,6.42565231811197,7.09887428674445,7.2628089671208,6.50432165369199,6.08400259165986,7.0906099974589,6.90692666253371
"31314_at",5.6666003861309,5.75001687301369,5.86396817597709,5.90048284306348,6.24517427598406,6.03836374657283,6.55169595877241,5.6146421241872,5.4806399672262,6.56987686894331,5.39389665268875,6.02960306667601,6.72391345792932,5.43028861874162,5.51250819094209,6.2950893189502,6.00246625184625,6.69957939347522,6.51198820884981,6.12844394887562,6.47120859981229,7.05129596230775,5.62712819484966,5.55959276161623,6.65711118686145,7.00305122703556
"31315_at",10.1542611719012,12.3315635936899,9.23000602069566,9.36286654028625,11.7221158961887,8.05361640857673,11.1971982599211,10.5260981630748,9.91638557741054,10.6467836918378,8.60457176068822,7.59022024813019,8.52572437720763,6.03890801818564,10.3340944739116,11.3804827107637,7.91863071809757,10.6568359817202,7.35692728799038,9.71217789134649,10.7574733515602,11.5537924637685,7.60164452385708,7.02543859282999,11.8119606442736,11.9475127512617
"31320_at",6.9497800302857,6.5752911500259,6.56143001164564,6.96340476196901,6.47977541462585,6.82334176176314,7.16686605253934,7.36491380638604,7.0778625068407,6.94861252729582,7.17763879104055,6.74791099325973,6.81403764753998,6.82507326083753,6.90473696885961,6.44983041050102,7.10091459149365,7.06147380466159,6.49771773790195,7.20406244344158,5.97171597731702,6.88674522474211,6.64045752824829,6.86958767456895,6.31214962579803,6.91069669000231
"31321_at",7.44841369506525,6.6876206320849,7.47139071126303,7.4475709317736,6.91898246334308,7.00563577634895,7.43965637899537,6.72010058025791,6.96217881634138,7.32448660857519,6.93168305705981,7.03212288907194,6.90893296724454,6.75647626323692,7.4392241805446,7.10689266163039,7.25088579974498,7.18001853169444,7.27018317739742,6.96176222035331,7.41541221319103,7.44040410893673,7.01008606858316,7.10235368891062,6.81177926577102,7.04402246822413
